Tipo;Nome del sito;descrizione del sito;indirizzo;info;orario ingresso;note orario ingresso;biglietto;indirizzo mail;sito web;note visite guidate;accessibilità;nome;anno;geocoding;formatted_address;CAP;località;latitude;longitude
chiese e oratori;Chiesa della Martorana (S.Maria dell'Ammiraglio) (1143);chiesa;Piazza Bellini, 3;tel. 091 6161692;Chiusa per restauro. Riapertura prevista gennaio 2013;;;;;;;Chiesa della Martorana (S.Maria dell'Ammiraglio);1143;Piazza Bellini, 3, Palermo;Vicolo Teatro Bellini, 3, 90133 Palermo, Italy;90133;Palermo;38.1151634;13.3633639
chiese e oratori;Chiesa dell'Immacolata Concezione al Capo (1610);chiesa;Via Porta Carini al Capo;tel: 091 328430;tutti i giorni dalle 9 alle 11.30 - (Sabato 9 - 11,30 e 15.30 - 18);;;;www.santippolito.arcidiocesi.palermo.it;;;Chiesa dell'Immacolata Concezione al Capo;1610;;;;;;
chiese e oratori;Chiesa di Casa Professa (Chiesa del Gesù) (1578);chiesa;Piazza Casa Professa, 21;tel. 091 332213 - 334 1879038;da Lunedì a Sabato dalle 9.30 alle 13.30. Domenica dalle 6.30 alle 12.30 - Festivi dalle 17 alle 18.30;;;;www.casaprofessa.blogspot.com;;;Chiesa di Casa Professa (Chiesa del Gesù);1578;Piazza Casa Professa, 21, Palermo;Via Casa Professa, 21, 90134 Palermo, Italy;90134;Palermo;38.1125847;13.3605768
chiese e oratori;Chiesa di Maria SS della Mercede al Capo (1482);chiesa;Via Cappuccinelle ang. Piazza Capo;Chiusa per restauro;Chiusa per restauro;;;;;;;Chiesa di Maria SS della Mercede al Capo;1482;;;;;;
musei e gallerie d'arte;Catacombe Paleocristiane di Porta d'Ossuna;Catacombe Paleocristiane di Porta d'Ossuna;Corso Alberto Amedeo, 110/112;tel. 091 546366 (prenotazione visite via fax);1° Martedì di ogni mese dalle 10.30 alle 15.30;;;;;;;Catacombe Paleocristiane di Porta d'Ossuna;;Corso Alberto Amedeo, 110/112, Palermo;Corso Alberto Amedeo, 110, 90138 Palermo, Italy;90138;Palermo;38.1165725;13.3506015
chiese e oratori;Chiesa di S. Agostino (1275);chiesa;Via S. Agostino;tel. 091 584632;da Lunedi a Sabato dalle 7 alle 12 e dalle 16 alle 18 Domenica e festivi dalle 7 alle 12;;;;;;;Chiesa di S. Agostino;1275;;;;;;
chiese e oratori;Chiesa di S. Antonio Abate Magno (1220);chiesa;Via Roma 203/A;tel. 091 589940;Sabato dalle 17.30 alle 18.30 - Domenica e festivi 9 - 12;;;;www.santoantonioabate.diocesipa.it;;;Chiesa di S. Antonio Abate Magno;1220;Via Roma 203/A, Palermo;Via Roma, 203, 90133 Palermo, Italy;90133;Palermo;38.1171657;13.3633386
musei e gallerie d'arte;Ex Deposito Locomotive S. Erasmo;Ex Deposito Locomotive S. Erasmo Galleria d'arte;Via Messina Marine, 32;tel. 091 7308489 - fax 091 7308493 Il Sito è visitabile solo in occasione di mostre e/o eventi;;;;;;;;Ex Deposito Locomotive S. Erasmo;;Via Messina Marine, 32, Palermo;Via Messina Marine, 32, 90123 Palermo, Italy;90123;Palermo;38.1070711;13.3826394
chiese e oratori;Chiesa di S. Cataldo (1154);chiesa;Piazza Bellini, 3 (Cavalieri del Santo Sepolcro);tel. 091 302667;da Lunedi a Sabato dalle 9.30 alle 12.30 e dalle 15.00 alle 18.00.;;(contributo d'ingresso) 2,50;;;;;Chiesa di S. Cataldo;1154;Piazza Bellini, 3, Palermo;Vicolo Teatro Bellini, 3, 90133 Palermo, Italy;90133;Palermo;38.1151634;13.3633639
chiese e oratori;Chiesa di S. Caterina (1580);chiesa;Piazza Bellini, 2;tel. 338 7228775 - 338 4512011;tutto l'anno da Lunedi a Sabato dalle 9.30 alle 13.30 da aprile ad ottobre anche dalle 15 alle 18.30. Domenica e festivi dalle 9.30 alle 13.30;;costi: (contributo d'ingresso) 2,00;;www.itinerars.it;;;Chiesa di S. Caterina;1580;Piazza Bellini, 2, Palermo;Vicolo Teatro Bellini, 2, 90133 Palermo, Italy;90133;Palermo;38.1152535;13.3633955
ville e giardini;Villa Igea;dependance albergo;Salita Belmonte, 43;tel. 091 631 2141;Il giardino è visitabile previo accordo con l'Hotel Villa Igiea;;;;;;;Villa Igea;;Salita Belmonte, 43, Palermo;Salita Belmonte, 43, 90142 Palermo, Italy;90142;Palermo;38.145035;13.3694383
chiese e oratori;Chiesa di S. Chiara (1340);chiesa;Piazza S. Chiara, 11;tel. 091 331141 - 340 9840657;il Sabato dalle 17 alle 18.30 - Domenica dalle 9 alle 10.30;La chiesa è visitabile nei giorni feriali su richiesta E' operativo il Centro Salesiano all'interno della Chiesa con servizi d'accoglienza per extracomunitari dalle 6.30 alle 23;;;;;;Chiesa di S. Chiara;1340;Piazza S. Chiara, 11, Palermo;Piazza Santa Chiara, 11, 90134 Palermo, Italy;90134;Palermo;38.1129449;13.3597036
ville e giardini;Villa Malfitano (1885);Villa Malfitano (1885);Via Dante;tel. 091 6820522;da Lunedì a Sabato dalle 9 alle 13.30;Chiuso Domenica e festivi;l'ingresso alla Villa è gratuito per accedere al Palazzo il costo è di  6,00 a persona;;www.fondazionewhitaker.it;;;Villa Malfitano;1885;;;;;;
ville e giardini;Villa Niscemi (XVIII sec.);Villa Niscemi (XVIII sec.);Piazza Niscemi;tel. 091 7404822;il parco tutti i giorni dalle 9 alle 18.;E' possibile visitare l'edificio gratuitamente da Lunedì a Sabato previo accordo, domenica e festivi dalle 9 alle 13;;;;;;Villa Niscemi;XVIII sec.;;;;;;
ville e giardini;Villa Terrasi;Villa Terrasi;Viale Lazio;;tutti i giorni dalle 8.30 alle 19;"All'interno il ""Cafè Letterario Costas"", sistema bibliotecario cittadino (wifi room + biblioteca) aperti dal Lunedì al Venerdì dalle 9 alle 18.30";;;;;;Villa Terrasi;;;;;;;
chiese e oratori;Chiesa di S. Cristina La Vetere (1174);chiesa;Vicolo dei Pellegrini, 2;tel. 091 348728;la Domenica dalle 10 alle 13 o su prenotazione Chiusa gli altri giorni e festivi;la Domenica dalle 10 alle 13 o su prenotazione;costi: (contributo d'ingresso) 2,00;itimed@gmail.com;www.itimed.org;;;Chiesa di S. Cristina La Vetere;1174;;;;;;
ville e giardini;Villa Trabia (XVIII sec.);Villa Trabia (XVIII sec.) sede di biblioteca e mediateca comunale;Via Salinas, 3;tel. 091 7405905;tutti i giorni dalle 7 alle 19;n.b. in caso di condizioni climatiche avverse, il Giardino rimarrà chiuso al pubblico;;;;;;Villa Trabia;XVIII sec.;Via Salinas, 3, Palermo;Via Antonio Salinas, 3, 90141 Palermo, Italy;90141;Palermo;38.1282475;13.3463207
chiese e oratori;Chiesa di S. Domenico (1640);chiesa;Piazza S. Domenico;tel. 091 589172 - 091 6114314 - 329 4259159;da Ottobre a Maggio dal Martedì alla Domenica dalle 8 alle 12, nei mesi di maggio ed ottobre anche il lunedì dalle 8 alle 12. Da luglio a settembre da martedì a domenica dalle 8.30 alle 11.30;n.b. la Domenica non è consentita la visita per gruppi turistici Chiusa Lunedì;;;www.itinerars.it;;;Chiesa di S. Domenico;1640;;;;;;
chiese e oratori;Chiesa di S. Eulalia dei Catalani (1537);chiesa sede dell'Istituto Cervantes PA;Via Argenteria Nuova, 33;tel. 091 8430481;dal 15 settembre al 30 Giugno da Lunedì a Giovedì dalle 9.00 alle 13.30 e dalle 15.30 alle 18.30 - Venerdì dalle 8 alle 15 - Luglio e dall'1/9 al 14/9 da Lunedì a Venerdì dalle 8 alle 15;Chiusa Sabato - Domenica - Festivi;;;;;;Chiesa di S. Eulalia dei Catalani;1537;;;;;;
chiese e oratori;Chiesa di S. Francesco d'Assisi (1277);chiesa;Piazza S.Francesco d'Assisi;tel. 091 582370;Tutti i giorni dalle 7 alle 11.30 e dalle 16 alle 18. Domenica dalle 7 alle 13.;;;;;;;Chiesa di S. Francesco d'Assisi;1277;;;;;;
chiese e oratori;Chiesa di S. Francesco Saverio (1710);chiesa;Piazza S. Francesco Saverio;tel. 091 6517052 - 328 3227667;Da domenica a venerdì dalle 9 alle 13 (la domenica anche 18.30 alle 20.30 per funzione religiosa) ingresso da via Vesalio suonando alla A.GE.DO.;Chiusa Sabato;;;;;;Chiesa di S. Francesco Saverio;1710;;;;;;
chiese e oratori;Chiesa di S. Gioacchino al Collegio Maria all'Olivella (1727);chiesa;Via Patania;tel. 091 581058;da Lunedì a Sabato dalle 6,40 alle 7.40. Domenica e festivi dalle 7.15 alle 8;E' possibile visitare la Chiesa in altri orari su prenotazione telefonica;;;;;;Chiesa di S. Gioacchino al Collegio Maria all'Olivella;1727;;;;;;
chiese e oratori;Chiesa di S. Giorgio dei Genovesi (1576);chiesa;Piazza S. Giorgio dei Genovesi;tel. 091 332779 - 333 9430999(Info e prenotazioni);ORARIO INVERNALE (Novembre - Marzo) da lunedì a sabato dalle 9 alle 16. ORARIO ESTIVO (Aprile - Ottobre) da lunedì a venerdì dalle 9 alle 18;Chiusa Domenica;intero 5,00 - ridotto 4,00 per universitari e gruppi (minimo 10 persone) ridotto euro 1,00 per studenti da 7 a 17 anni - gratuito per bambini fino ai 6 anni, religiosi, diversamente abili e accompagnatori, giornalisti, guide e capigruppo. n.b. Col ticket d'ingresso sono visitabili gli Oratori (S.Cita e SS.Rosario in S.Domenico). Le chiese sono sempre ad ingresso gratuito.;;www.santacita.it;"La Chiesa fa parte del Circuito dei ""tesori della loggia"" che comprende l'Oratorio di S. Cita la Chiesa di S. Mamiliano (o Cita) SS.Rosario in S.Domenico S.Giorgio dei Genovesi - S.Maria in Valverde";;Chiesa di S. Giorgio dei Genovesi;1576;;;;;;
chiese e oratori;Chiesa di S. Giovanni degli Eremiti (1148);chiesa;Via dei Benedettini;tel. 091 6515019;da Martedì a Sabato dalle 9 alle 19. Lunedì, domenica e festivi infrasettimanali dalle 9 alle 13.30.;;costi: intero 6,00 - ridotto 3,00 dai 18 ai 25 anni e corpo docente - 1,00 per residenti a Palermo - gratuito per minorenni, over 65 della C.E. e scolaresche previo accordo;;;;;Chiesa di S. Giovanni degli Eremiti;1148;;;;;;
chiese e oratori;Chiesa di S. Giovanni dei Lebbrosi (1071);chiesa;Via Cappello, 38;tel. 091 475024;giorni feriali dalle 9 alle 11 e dalle 16 alle 19. Domenica e festivi dalle 7.30 alee 12.30;;;;;;;Chiesa di S. Giovanni dei Lebbrosi;1071;Via Salvatore Cappello, 38, Palermo;Via Salvatore Cappello, 38, 90123 Palermo, Italy;90123;Palermo;38.1042764;13.3802745
chiese e oratori;Chiesa di S. Giovanni dei Napoletani (1526);chiesa;Corso Vittorio Emanuele (angolo Piazza Marina);;Giovedì dalle 12.30 alle 16.30 - Sabato dalle 16.30 alle 19.30 - 3° Sabato del mese dalle 17.30 alle 19;;;;;;;Chiesa di S. Giovanni dei Napoletani;1526;;;;;;
chiese e oratori;Chiesa di S. Giuseppe Cafasso (1765) (ex S. Giorgio in Kemonia);chiesa;Via dei Benedettini, 16;tel. 091 6518223 - 091 3822777;dal Lunedì al Sabato dalle 8 alle 12 e dalle 16,30 alle 19 Domenica e festivi dalle 9 alle 12;Novità: da metà Maggio visitabile anche la torre e il campanile della Chiesa, da lunedì a sabato dalle 10.30 alle 15.30.;costi: contributo d'ingresso 1,50 (accesso torre);;www.sangiuseppecafasso.arcidiocesi.palermo.it;;;Chiesa di S. Giuseppe Cafasso (ex S. Giorgio in Kemonia);1765;Via dei Benedettini, 16, Palermo;Via dei Benedettini, 16, 90134 Palermo, Italy;90134;Palermo;38.1098677;13.3544601
chiese e oratori;Chiesa di S. Giuseppe dei Teatini (1645);chiesa;Piazza Pretoria - Corso Vittorio Emanuele;tel. 091 331239;dal 15 Settembre al 15 Luglio da Lunedì a Sabato dalle 7.30 alle 12 e dalle 17.30 alle 20 - Domenica e festivi dalle 8.30 alle 13.15 e dalle 18 alle 20 - dal 16/7 al 14/9 da Lunedì a Sabato dalle 7.30 alle 11 e dalle 18.15 alle 20;;costi: contributo d'ingresso offerta libera;;www.sangiuseppeteatini.arcidiocesi.palermo.it;;;Chiesa di S. Giuseppe dei Teatini;1645;;;;;;
chiese e oratori;Chiesa di S. Gregorio Papa (1688);chiesa;Via Porta di Carini;tel. 091 583791;giorni feriali dalle 7.45 alle 11, festivi dalle 7.45 alle 12.30;;;;;;;Chiesa di S. Gregorio Papa;1688;;;;;;
chiese e oratori;Chiesa di S. Ignazio Martire all'Olivella dei Padri Filippini (1622);chiesa;Piazza Olivella;tel. 091 586867;tutti i giorni, festivi compresi, dalle 7.50 alle 10 e dalle 17 alle 18.30;;;;;;;Chiesa di S. Ignazio Martire all'Olivella dei Padri Filippini;1622;;;;;;
chiese e oratori;Chiesa di S. Ippolito (orig.1267);chiesa;Via Porta Carini, 33;tel. 091 328430;da Lunedi a Sabato dalle 8.00 alle 11.30 - Domenica e festivi dalle 8 alle 12.;;;;www.santippolito.arcidiocesi.palermo.it;;;Chiesa di S. Ippolito;1267;Via Porta Carini, 33, Palermo;Via Porta Carini, 33, 90134 Palermo, Italy;90134;Palermo;38.1176173;13.3516386
chiese e oratori;Chiesa di S. Maria in Valverde (1633);chiesa;Piazza S. Valverde, 3;tel. 091 332779 - 091 8431605 (Info e prenotazioni);ORARIO INVERNALE (Novembre - Marzo) da lunedì a sabato dalle 9 alle 16. ORARIO ESTIVO (Aprile - Ottobre) da lunedì a venerdì dalle 9 alle 18;Chiusa Domenica;costi: intero 5,00 - ridotto 4,00 per universitari e gruppi (minimo 10 persone) ridotto euro 1,00 per studenti da 7 a 17 anni - gratuito per bambini fino ai 6 anni, religiosi, diversamente abili e accompagnatori, giornalisti, guide e capigruppo. n.b. Col ticket d'ingresso sono visitabili gli Oratori (S.Cita e SS.Rosario in S.Domenico). Le chiese sono sempre ad ingresso gratuito.;;www.santacita.it;"La Chiesa fa parte del Circuito dei ""tesori della loggia"" che comprende l'Oratorio di S. Cita la Chiesa di S. Mamiliano (o Cita) SS.Rosario in S.Domenico S.Giorgio dei Genovesi - S.Maria in Valverde";;Chiesa di S. Maria in Valverde;1633;;;;;;
chiese e oratori;Chiesa di S. Maria degli Angeli (La Gancia) (1490);chiesa;Via Alloro, 27;tel. 091 6165221;da Lunedì a Sabato dalle 9.30 alle 13.30;;;;;;;Chiesa di S. Maria degli Angeli (La Gancia);1490;Via Alloro, 27, Palermo;Via Alloro, 27, 90133 Palermo, Italy;90133;Palermo;38.1168692;13.3712693
chiese e oratori;Chiesa di S. Maria dei Miracoli (1547);chiesa;Piazza Marina;Chiusa al pubblico per restauro;Chiusa al pubblico per restauro;;;;;;;Chiesa di S. Maria dei Miracoli;1547;;;;;;
chiese e oratori;Chiesa di S. Maria del Carmine (1667);chiesa;Piazza del Carmine;tel: 091 6512018;da Lunedi a Domenica dalle 9 alle 11.;Il pomeriggio visitabile solo per gruppi previa richiesta tel. Visite sospese durante la messa;;;;;;Chiesa di S. Maria del Carmine;1667;;;;;;
musei e gallerie d'arte;G.A.M. Galleria d' Arte Moderna;Complesso Monumentale di S. Anna ai Lattarini;Via Sant' Anna, 21;tel. 091 8431605;da Martedì a Domenica e festivi dalle 9.30 alle 18.30 - Venerdì e Sabato chiusura alle 23 (ultimo ingresso ore 22) Chiuso Lunedì;;intero 7,00;;www.galleriadartemodernapalermo.it;;;G.A.M. Galleria d' Arte Moderna;;Via Sant' Anna, 21, Palermo;Via Sant'Anna, 21, 90133 Palermo, Italy;90133;Palermo;38.1152018;13.3647759
chiese e oratori;Chiesa (di S.Maria) della Catena (1490);chiesa;Piazzetta delle Dogane;tel. 091 321529;tutti i giorni dalle 10 alle 18;;costo: intero 2,50 - ridotto 1,50 per gruppi min.10 pax con ausilio guida;;www.amicimuseisiciliani.it;;;Chiesa (di S.Maria) della Catena;1490;;;;;;
chiese e oratori;Chiesa di S. Maria della Pietà (1684);chiesa;Via Torremuzza, 1;tel. 091 6165266;da Lunedì a Sabato dalle 9 alle 12 e dalle 16 alle 19 Domenica e festivi dalle 8 alle 12;;;;;;;Chiesa di S. Maria della Pietà;1684;Via Torremuzza, 1, Palermo;Via Torremuzza, 1, 90133 Palermo, Italy;90133;Palermo;38.1172428;13.3720626
chiese e oratori;Chiesa di S. Maria di Portosalvo (1526);chiesa;Piazza Marina;da Lunedì a Sabato dalle 7 alle 10 - Domenica e festivi dalle 10.30 alle 13;;;;;;;;Chiesa di S. Maria di Portosalvo;1526;;;;;;
musei e gallerie d'arte;Galleria Regionale di Sicilia;Galleria Regionale di Sicilia- sede Palazzo Abatellis;Via Alloro, 4;tel. 091 6230011;da Martedì a Domenica e festivi dalle 9 alle 13 Chiuso Lunedì;;intero 8,00 - ridotto 4,00 dai 18 ai 25 anni - ridotto 1,00 per residenti - gratuito per under 18 ed over 65 anni Chiuso Lunedì;;www.regione.sicilia.it/beniculturali/palazzoabatellis;;;Galleria Regionale di Sicilia;;Via Alloro, 4, Palermo;Via Alloro, 4, 90133 Palermo, Italy;90133;Palermo;38.11687269999999;13.3713284
chiese e oratori;Chiesa di S. Maria in valverde (1633);chiesa;Piazza S. Giorgio dei Genovesi;tel. 091 332779 - 091 8431605 (Info e prenotazioni);ORARIO INVERNALE (Novembre - Marzo) da lunedì a sabato dalle 9 alle 16. ORARIO ESTIVO (Aprile - Ottobre) da lunedì a venerdì dalle 9 alle 18;Chiusa Domenica;intero 5,00 - ridotto 4,00 per universitari e gruppi (minimo 10 persone) ridotto euro 1,00 per studenti da 7 a 17 anni - gratuito per bambini fino ai 6 anni, religiosi, diversamente abili e accompagnatori, giornalisti, guide e capigruppo. n.b. Col ticket d'ingresso sono visitabili gli Oratori (S.Cita e SS.Rosario in S.Domenico). Le chiese sono sempre ad ingresso gratuito.;;www.santacita.it;"La Chiesa fa parte del Circuito dei ""tesori della loggia"" che comprende l'Oratorio di S. Cita la Chiesa di S. Mamiliano (o Cita) SS.Rosario in S.Domenico S.Giorgio dei Genovesi - S.Maria in Valverde";;Chiesa di S. Maria in valverde;1633;;;;;;
chiese e oratori;Chiesa di S. Maria La Nuova (1534);chiesa;Piazza S. Giacomo la Marina, 13;tel. 091 326597;da lunedì a sabato dalle 9 alle 11, domenica dalle 9 alle 13;;;;;;;Chiesa di S. Maria La Nuova;1534;;;;;;
